time,ch3_clamp_diode
-0.0168147,0.02
-0.0168115,5.96046e-10
-0.0168083,0.02
-0.0168051,0.02
-0.0168019,5.96046e-10
-0.0167987,5.96046e-10
-0.0167955,0.02
-0.0167923,0.02
-0.0167891,0.02
-0.0167859,0.02
-0.0167827,0.02
-0.0167795,0.02
-0.0167763,0.02
-0.0167731,0.02
-0.0167699,0.02
-0.0167667,0.02
-0.0167635,0.02
-0.0167603,0.02
-0.0167571,0.02
-0.0167539,0.02
-0.0167507,5.96046e-10
-0.0167475,5.96046e-10
-0.0167443,0.02
-0.0167411,0.02
-0.0167379,0.02
-0.0167347,5.96046e-10
-0.0167315,5.96046e-10
-0.0167283,5.96046e-10
-0.0167251,5.96046e-10
-0.0167219,5.96046e-10
-0.0167187,0.02
-0.0167155,0.02
-0.0167123,0.02
-0.0167091,5.96046e-10
-0.0167059,5.96046e-10
-0.0167027,5.96046e-10
-0.0166995,0.02
-0.0166963,5.96046e-10
-0.0166931,0.02
-0.0166899,0.02
-0.0166867,0.02
-0.0166835,0.02
-0.0166803,0.02
-0.0166771,0.02
-0.0166739,0.02
-0.0166707,5.96046e-10
-0.0166675,0.02
-0.0166643,0.02
-0.0166611,0.02
-0.0166579,5.96046e-10
-0.0166547,5.96046e-10
-0.0166515,0.02
-0.0166483,5.96046e-10
-0.0166451,0.02
-0.0166419,0.02
-0.0166387,5.96046e-10
-0.0166355,5.96046e-10
-0.0166323,0.02
-0.0166291,5.96046e-10
-0.0166259,0.02
-0.0166227,5.96046e-10
-0.0166195,5.96046e-10
-0.0166163,0.02
-0.0166131,5.96046e-10
-0.0166099,5.96046e-10
-0.0166067,0.02
-0.0166035,5.96046e-10
-0.0166003,5.96046e-10
-0.0165971,5.96046e-10
-0.0165939,0.02
-0.0165907,5.96046e-10
-0.0165875,0.02
-0.0165843,5.96046e-10
-0.0165811,0.02
-0.0165779,5.96046e-10
-0.0165747,0.02
-0.0165715,0.02
-0.0165683,0.02
-0.0165651,0.02
-0.0165619,5.96046e-10
-0.0165587,0.02
-0.0165555,0.02
-0.0165523,5.96046e-10
-0.0165491,0.02
-0.0165459,0.02
-0.0165427,-0.02
-0.0165395,5.96046e-10
-0.0165363,0.02
-0.0165331,0.02
-0.0165299,0.02
-0.0165267,5.96046e-10
-0.0165235,0.02
-0.0165203,0.02
-0.0165171,0.02
-0.0165139,0.02
-0.0165107,5.96046e-10
-0.0165075,0.02
-0.0165043,0.02
-0.0165011,0.02
-0.0164979,5.96046e-10
-0.0164947,0.02
-0.0164915,5.96046e-10
-0.0164883,0.02
-0.0164851,5.96046e-10
-0.0164819,5.96046e-10
-0.0164787,0.02
-0.0164755,5.96046e-10
-0.0164723,0.02
-0.0164691,0.02
-0.0164659,5.96046e-10
-0.0164627,5.96046e-10
-0.0164595,0.02
-0.0164563,5.96046e-10
