time,ch1_thermo
-0.0160851,4.38
-0.0160819,4.42
-0.0160787,4.38
-0.0160755,4.38
-0.0160723,4.38
-0.0160691,4.42
-0.0160659,4.38
-0.0160627,4.38
-0.0160595,4.38
-0.0160563,4.42
-0.0160531,4.38
-0.0160499,4.42
-0.0160467,4.38
-0.0160435,4.42
-0.0160403,4.38
-0.0160371,4.38
-0.0160339,4.38
-0.0160307,4.38
-0.0160275,4.38
-0.0160243,4.38
-0.0160211,4.38
-0.0160179,4.38
-0.0160147,4.38
-0.0160115,4.38
-0.0160083,4.38
-0.0160051,4.38
-0.0160019,4.38
-0.0159987,4.38
-0.0159955,4.38
-0.0159923,4.34
-0.0159891,4.38
-0.0159859,4.38
-0.0159827,4.38
-0.0159795,4.34
-0.0159763,4.38
-0.0159731,4.34
-0.0159699,4.38
-0.0159667,4.38
-0.0159635,4.38
-0.0159603,4.34
-0.0159571,4.34
-0.0159539,4.38
-0.0159507,4.38
-0.0159475,4.34
-0.0159443,4.34
-0.0159411,4.38
-0.0159379,4.38
-0.0159347,4.38
-0.0159315,4.38
-0.0159283,4.34
-0.0159251,4.38
-0.0159219,4.34
-0.0159187,4.38
-0.0159155,4.38
-0.0159123,4.38
-0.0159091,4.38
-0.0159059,4.34
-0.0159027,4.34
-0.0158995,4.34
-0.0158963,4.34
-0.0158931,4.38
-0.0158899,4.38
-0.0158867,4.34
-0.0158835,4.38
